,0.005	-0.005	0.005	0.000	0.010	0.000	0.405	2.690	4.653	3.154	2.793	2.476	2.544	2.422
0,0.010	0.000	0.005	0.000	0.005	-0.005	0.410	2.681	4.028	3.418	2.959	2.607	2.554	2.451
1,0.000	0.000	0.005	0.005	0.000	0.000	0.396	2.803	3.569	3.467	3.096	2.739	2.598	2.490
2,0.000	0.015	0.010	-0.005	0.000	0.000	0.405	2.744	3.228	3.423	3.188	2.866	2.666	2.539
3,0.000	0.015	0.000	0.000	0.005	0.005	0.391	2.705	2.988	3.311	3.228	2.969	2.749	2.593
4,-0.005	0.010	0.000	0.000	-0.005	-0.005	0.400	2.686	2.812	3.179	3.218	3.047	2.822	2.651
5,0.000	0.015	0.000	0.005	0.000	0.000	0.396	2.686	2.695	3.052	3.174	3.086	2.896	2.720
6,0.000	0.005	0.000	0.005	0.005	0.015	0.405	2.705	2.617	2.935	3.115	3.101	2.954	2.788
7,0.005	-0.005	0.000	0.000	0.000	-0.015	0.391	2.695	2.568	2.837	3.042	3.091	2.988	2.837
8,-0.005	0.005	0.000	0.005	-0.005	0.015	0.400	2.690	2.539	2.764	2.964	3.062	3.013	2.886
9,0.000	-0.005	0.000	0.005	-0.005	0.005	0.396	2.681	2.520	2.695	2.891	3.022	3.013	2.925
10,0.010	-0.005	0.000	0.005	0.000	-0.015	0.396	2.700	2.515	2.651	2.827	2.974	3.003	2.944
11,-0.005	0.005	0.000	0.000	0.000	0.010	0.400	2.700	2.510	2.617	2.773	2.930	2.988	2.964
12,0.005	-0.005	0.000	0.000	-0.005	0.010	0.400	2.700	2.515	2.593	2.720	2.881	2.959	2.964
13,0.005	0.005	0.000	0.005	-0.005	0.015	0.405	2.681	2.515	2.573	2.681	2.827	2.925	2.959
14,0.005	0.000	0.000	0.005	-0.005	0.015	0.405	2.690	2.510	2.563	2.651	2.788	2.886	2.935
15,0.005	0.000	0.000	0.000	0.005	0.000	0.396	2.700	2.515	2.549	2.622	2.749	2.847	2.910
16,0.000	0.010	0.005	0.000	0.010	-0.020	0.396	2.695	2.510	2.544	2.598	2.710	2.808	2.881
17,0.005	0.005	0.005	0.005	0.005	0.010	0.400	2.695	2.505	2.539	2.583	2.681	2.778	2.861
18,0.000	0.000	-0.005	0.000	0.000	-0.024	0.405	2.676	2.500	2.529	2.563	2.651	2.739	2.812
19,0.000	0.005	-0.005	0.000	0.010	0.015	0.396	2.695	2.495	2.524	2.549	2.627	2.710	2.798
20,-0.005	0.010	0.000	0.000	0.000	0.010	0.391	2.686	2.490	2.515	2.539	2.607	2.676	2.764
21,-0.005	-0.005	0.000	0.005	-0.005	0.005	0.400	2.681	2.485	2.505	2.529	2.588	2.651	2.734
22,0.000	0.005	0.000	0.000	0.000	0.000	0.396	2.686	2.476	2.500	2.520	2.573	2.627	2.705
23,0.005	0.000	0.005	0.000	0.000	0.010	0.396	2.705	2.476	2.490	2.515	2.563	2.612	2.681
24,0.005	0.005	0.005	0.005	0.005	0.005	0.400	2.686	2.466	2.490	2.505	2.554	2.593	2.651
25,-0.005	-0.005	0.005	0.000	0.000	0.005	0.405	2.690	2.456	2.480	2.495	2.539	2.578	2.637
26,0.000	-0.010	0.005	0.000	-0.005	-0.005	0.396	2.671	2.446	2.476	2.490	2.529	2.563	2.612
27,0.000	0.005	0.005	0.000	0.005	-0.005	0.405	2.661	2.441	2.471	2.485	2.524	2.554	2.598
28,0.010	-0.005	0.005	0.000	0.000	0.005	0.405	2.661	2.432	2.461	2.480	2.520	2.544	2.588
29,0.005	-0.005	0.000	0.005	-0.005	0.000	0.405	2.642	2.422	2.451	2.471	2.510	2.529	2.568
30,0.005	0.000	0.000	0.000	0.000	0.000	0.396	2.642	2.417	2.446	2.466	2.505	2.524	2.559
31,0.000	0.005	0.000	0.005	0.005	0.000	0.410	2.739	2.417	2.441	2.461	2.495	2.515	2.549
32,-0.005	0.005	0.000	0.005	0.005	0.000	0.396	2.754	2.417	2.437	2.451	2.495	2.510	2.539
33,0.000	0.000	0.000	0.005	0.005	0.005	0.405	2.642	2.397	2.427	2.446	2.485	2.500	2.534
34,-0.010	-0.005	0.005	0.000	0.000	-0.005	0.396	2.739	2.397	2.417	2.437	2.476	2.490	2.515
35,0.005	0.000	0.005	-0.005	0.005	-0.015	0.405	2.671	2.388	2.407	2.427	2.466	2.485	2.505
36,0.000	0.005	0.000	0.000	0.005	-0.010	0.400	2.725	2.378	2.402	2.422	2.456	2.471	2.495
37,0.010	0.000	0.000	0.000	-0.005	0.015	0.405	2.686	2.373	2.393	2.412	2.446	2.466	2.495
38,0.000	0.000	0.005	0.000	0.010	0.005	0.396	2.632	2.354	2.383	2.402	2.437	2.461	2.480
39,0.000	0.005	0.005	0.005	0.005	0.000	0.410	2.695	2.354	2.378	2.393	2.432	2.451	2.476
40,0.005	0.015	0.005	0.005	0.000	0.000	0.400	2.642	2.344	2.368	2.388	2.427	2.441	2.461
41,0.015	0.010	0.000	0.005	0.000	-0.010	0.400	2.798	2.354	2.368	2.383	2.417	2.432	2.451
42,0.010	0.005	-0.005	0.005	0.000	0.000	0.400	2.725	2.349	2.358	2.373	2.412	2.427	2.446
43,0.015	0.000	0.000	0.000	0.000	-0.005	0.405	2.686	2.339	2.354	2.368	2.407	2.417	2.437
44,-0.005	-0.005	0.005	0.000	0.000	0.010	0.405	2.695	2.334	2.344	2.363	2.402	2.417	2.437
45,0.005	0.000	0.010	0.000	0.000	0.024	0.405	2.690	2.334	2.349	2.358	2.397	2.412	2.437
46,0.005	0.000	0.000	0.000	-0.005	0.020	0.405	2.705	2.319	2.339	2.354	2.388	2.402	2.427
47,0.005	0.000	0.000	0.000	0.000	0.020	0.400	2.686	2.314	2.339	2.349	2.383	2.397	2.417
48,0.005	0.010	0.000	0.005	0.005	0.015	0.405	2.705	2.310	2.329	2.344	2.378	2.393	2.412
49,-0.005	-0.005	0.000	0.010	0.005	-0.010	0.405	2.686	2.300	2.324	2.339	2.373	2.388	2.397
50,0.000	-0.005	0.000	0.000	0.005	0.000	0.400	2.700	2.290	2.310	2.329	2.363	2.378	2.397
51,-0.005	-0.005	0.000	0.000	0.000	0.005	0.405	2.681	2.290	2.305	2.324	2.358	2.368	2.388
52,0.000	-0.005	0.000	-0.005	0.005	0.005	0.396	2.700	2.280	2.300	2.314	2.349	2.363	2.383
53,-0.005	0.000	0.000	0.000	0.000	0.000	0.400	2.686	2.271	2.295	2.310	2.344	2.354	2.373
54,0.005	0.005	0.000	0.000	0.005	0.015	0.405	2.686	2.261	2.285	2.300	2.339	2.349	2.373
55,0.005	0.010	0.005	0.005	0.005	0.015	0.405	2.700	2.261	2.280	2.295	2.329	2.344	2.363
56,0.000	0.005	0.005	0.000	0.010	0.005	0.410	2.720	2.261	2.275	2.285	2.324	2.339	2.349
57,0.005	0.005	0.000	0.005	0.000	0.010	0.396	2.705	2.256	2.271	2.280	2.319	2.329	2.349
58,0.000	-0.005	0.005	0.005	0.000	0.015	0.400	2.686	2.246	2.261	2.275	2.310	2.324	2.339
59,0.015	0.000	0.005	0.000	0.005	0.000	0.391	2.700	2.246	2.261	2.271	2.305	2.319	2.334
60,-0.005	0.010	-0.005	0.000	0.000	-0.005	0.400	2.700	2.236	2.251	2.266	2.300	2.310	2.324
61,-0.005	0.005	-0.005	0.000	0.000	-0.015	0.405	2.710	2.241	2.251	2.261	2.295	2.310	2.324
62,0.010	0.005	0.005	0.005	-0.005	-0.005	0.400	2.695	2.241	2.251	2.261	2.290	2.305	2.319
63,0.005	0.000	0.000	0.005	0.000	0.010	0.400	2.710	2.236	2.246	2.256	2.290	2.300	2.319
64,-0.005	0.000	0.000	0.000	0.005	0.010	0.400	2.710	2.231	2.241	2.251	2.285	2.295	2.314
65,-0.005	0.000	0.005	0.005	-0.005	0.005	0.396	2.686	2.217	2.236	2.246	2.280	2.285	2.305
66,0.010	-0.005	0.000	0.005	0.000	0.000	0.400	2.656	2.217	2.231	2.241	2.275	2.285	2.295
67,0.000	0.000	0.005	0.000	0.005	-0.015	0.396	2.656	2.202	2.227	2.236	2.271	2.280	2.285
68,-0.005	0.000	0.000	0.005	0.005	0.010	0.405	2.651	2.202	2.217	2.231	2.261	2.275	2.290
69,0.000	0.005	0.005	0.000	0.005	-0.020	0.400	2.637	2.192	2.212	2.222	2.256	2.266	2.280
70,-0.005	-0.010	0.000	0.000	0.005	0.005	0.405	2.637	2.192	2.202	2.217	2.251	2.261	2.275
71,-0.005	0.005	0.000	0.005	0.005	0.000	0.405	2.734	2.187	2.202	2.212	2.241	2.251	2.266
72,0.000	0.000	-0.005	0.000	0.000	0.005	0.405	2.749	2.187	2.192	2.202	2.236	2.246	2.266
73,0.005	0.005	0.000	0.000	0.000	-0.005	0.400	2.637	2.183	2.197	2.202	2.231	2.241	2.256
74,0.000	0.005	0.000	0.005	0.005	0.005	0.405	2.749	2.173	2.187	2.197	2.231	2.236	2.256
75,0.005	0.005	0.005	0.000	0.005	-0.005	0.400	2.661	2.168	2.187	2.192	2.227	2.236	2.246
76,-0.005	0.005	0.000	0.005	0.005	0.010	0.405	2.656	2.158	2.178	2.187	2.222	2.231	2.246
77,0.000	-0.005	0.000	0.005	0.000	0.010	0.405	2.700	2.168	2.178	2.187	2.217	2.227	2.241
78,0.000	0.005	0.000	0.000	-0.005	0.000	0.396	2.646	2.153	2.178	2.183	2.212	2.222	2.231
79,0.000	0.020	0.005	0.005	0.000	0.005	0.405	2.695	2.153	2.178	2.183	2.212	2.217	2.231
80,-0.005	0.000	0.005	0.000	0.000	-0.020	0.400	2.725	2.153	2.163	2.178	2.207	2.212	2.222
81,0.005	-0.005	0.000	0.000	0.000	0.005	0.396	2.788	2.163	2.163	2.173	2.202	2.207	2.227
82,0.000	0.005	0.005	0.000	0.005	0.010	0.400	2.734	2.163	2.168	2.168	2.197	2.207	2.222
83,0.000	0.005	0.000	0.000	0.000	-0.010	0.405	2.695	2.153	2.163	2.168	2.192	2.197	2.207
